id,name,park,land,type,status,latitude,longitude,,
royal-reception,Royal Reception,disneyland,Fantasyland,Boutique,seasonal,33.8134970969368,-117.919295592466,,
engineear-souvenirs,EngineEar Souvenirs,disneyland,Mickey's Toontown,Gift Shop,operating,33.8155287280228,-117.918425586229,,
star-trader,The Star Trader,disneyland,Tomorrowland,Gift Shop,operating,33.8118350749409,-117.917300992786,,
little-green-men,Little Green Men Store Command,disneyland,Tomorrowland,Gift Shop,operating,33.812278452412,-117.917466143086,,
tomorrowlanding,TomorrowLanding,disneyland,Tomorrowland,MagicBand+,operating,33.8120528063904,-117.917060312351,,
savis-workshop,Savi's Workshop -- Handbuilt Lightsabers,disneyland,Star Wars: Galaxy's Edge,Boutique,operating,33.814408533534,-117.921078947246,,
droid-depot,Droid Depot,disneyland,Star Wars: Galaxy's Edge,Boutique,operating,33.8142157526324,-117.920953295041,,
dok-ondars,Dok-Ondar's Den of Antiquities,disneyland,Star Wars: Galaxy's Edge,Boutique,operating,33.8145987620277,-117.921317648413,,
creature-stall,Creature Stall,disneyland,Star Wars: Galaxy's Edge,Gift Shop,operating,33.8142863334643,-117.921891599928,,
toydarian-toymaker,Toydarian Toymaker,disneyland,Star Wars: Galaxy's Edge,Cart/Kiosk,operating,33.8144098757359,-117.921830917735,,
black-spire-outfitters,Black Spire Outfitters,disneyland,Star Wars: Galaxy's Edge,Gift Shop,operating,33.8144424904519,-117.921750287138,,
first-order-cargo,First Order Cargo,disneyland,Star Wars: Galaxy's Edge,Gift Shop,operating,33.8145604434534,-117.920478173844,,
resistance-supply,Resistance Supply,disneyland,Star Wars: Galaxy's Edge,Gift Shop,operating,33.8139762872546,-117.922825789691,,
jewels-of-bith,Jewels of Bith,disneyland,Star Wars: Galaxy's Edge,Cart/Kiosk,operating,33.8144352690155,-117.921677999383,,
elias-and-co,Elias & Co.,californiaadventure,Buena Vista Street,Gift Shop,operating,33.8080256952836,-117.91875685777,,
los-feliz-five-and-dime,Los Feliz Five and Dime,californiaadventure,Buena Vista Street,Gift Shop,operating,33.8083970596624,-117.91877238164,,
julius-katz-and-sons,Julius Katz & Sons,californiaadventure,Buena Vista Street,Boutique,operating,33.8081340782035,-117.919155937669,,
big-top-toys,Big Top Toys,californiaadventure,Buena Vista Street,Gift Shop,operating,33.8081441070029,-117.918804568866,,
oswalds,Oswald's,californiaadventure,Buena Vista Street,Gift Shop,operating,33.8085708911204,-117.918581592025,,
kingswell-camera-shop,Kingswell Camera Shop,californiaadventure,Buena Vista Street,Boutique,operating,33.808370181773,-117.919170884832,,
trolley-treats,Trolley Treats,californiaadventure,Buena Vista Street,Boutique,operating,33.8080007341535,-117.91907306825,,
atwater-ink-and-paint,Atwater Ink & Paint,californiaadventure,Buena Vista Street,Boutique,operating,33.8079523630885,-117.919289755804,,
off-the-page,Off the Page,californiaadventure,Hollywood Land,Boutique,operating,33.8075387211976,-117.917872556634,,
